"reef_name","global_label","year","Mean","SD","N","SE","surveyid","sub_region","optional","Bleaching","Cyclone","Density","Threat","Density.cat","Cyclone.cat","Bleaching.cat","Threat.cat","lng","lat"
"13040 Reef","ACR_BRA",2012,0.0406521739130435,0.100829573847434,92,0.0105122097552111,15018,"Far Northern",TRUE,0.100693561136723,1.32689249515533,0.00248412089422345,3.43497252464294,"Low","Low","Low","High",143.9427997,-13.27604472
"13040 Reef","ACR_TCD",2012,0.0815217391304348,0.0840844000716169,92,0.00876640470613693,15018,"Far Northern",TRUE,0.100693561136723,1.32689249515533,0.00248412089422345,3.43497252464294,"Low","Low","Low","High",143.9427997,-13.27604472
"13040 Reef","BRA_nACR",2012,0.0697826086956522,0.0888754933634265,92,0.00926591071135415,15018,"Far Northern",TRUE,0.100693561136723,1.32689249515533,0.00248412089422345,3.43497252464294,"Low","Low","Low","High",143.9427997,-13.27604472
"13040 Reef","CCA",2012,0.0289130434782609,0.047658504118481,92,0.00496874253055088,15018,"Far Northern",TRUE,0.100693561136723,1.32689249515533,0.00248412089422345,3.43497252464294,"Low","Low","Low","High",143.9427997,-13.27604472
"13040 Reef","EAM",2012,0.421521739130435,0.234070219494247,92,0.0244035073330269,15018,"Far Northern",TRUE,0.100693561136723,1.32689249515533,0.00248412089422345,3.43497252464294,"Low","Low","Low","High",143.9427997,-13.27604472
"13040 Reef","FLP",2012,0.028695652173913,0.0575166940181613,92,0.00599652987584848,15018,"Far Northern",TRUE,0.100693561136723,1.32689249515533,0.00248412089422345,3.43497252464294,"Low","Low","Low","High",143.9427997,-13.27604472
"13040 Reef","GORG",2012,0.000434782608695652,0.00293259195194581,92,0.000305743846264236,15018,"Far Northern",TRUE,0.100693561136723,1.32689249515533,0.00248412089422345,3.43497252464294,"Low","Low","Low","High",143.9427997,-13.27604472
"13040 Reef","MACRO",2012,0.00695652173913044,0.019314580863239,92,0.00201368425572814,15018,"Far Northern",TRUE,0.100693561136723,1.32689249515533,0.00248412089422345,3.43497252464294,"Low","Low","Low","High",143.9427997,-13.27604472
"13040 Reef","MSE",2012,0.0823913043478261,0.161581262957496,92,0.0168460111840922,15018,"Far Northern",TRUE,0.100693561136723,1.32689249515533,0.00248412089422345,3.43497252464294,"Low","Low","Low","High",143.9427997,-13.27604472
"13040 Reef","MSEM",2012,0.0252173913043478,0.0456329903042627,92,0.00475756811748275,15018,"Far Northern",TRUE,0.100693561136723,1.32689249515533,0.00248412089422345,3.43497252464294,"Low","Low","Low","High",143.9427997,-13.27604472
